素燉鰻魚	當歸,米酒,鰻魚,枸杞,水,紅棗,川芎	鹽,香菇
髮菜羹湯	竹筍,里肌肉,海鮮濃湯用高湯,髮菜,香菇	雞粉,太白粉,醋,柴魚,鹽,胡椒	香油,鹽,胡椒,大蒜,醬油
滷白蘿蔔	薑,青蔥,滷汁,洋蔥,白蘿蔔
九層塔煎蛋	黑麻油,雞蛋,九層塔	米酒,太白粉,鹽
塔香海瓜子煲	大白菜,九層塔,海瓜子,辣椒,蔥,大蒜	米酒,醬油膏,糖
人蔘燉雞湯	蔘鬚,薑,清湯,紅棗,棒棒腿	香油,米酒,鹽,雞粉
白果燴海鮮	高湯,蒜,白果,花枝,紅蘿蔔,太白粉,蝦子,魚,薑,青花椰菜,蔥,魷魚	細砂糖,烏醋,蠔油,雞粉,鹽,香油
辣味雞胗	蔥,薑,蒜,蔥,雞胗	香油,細砂糖,白醋,辣椒
蒜香豬肉飯	大蒜,豬,水,白米	味霖,醬油,米酒
五香焢肉	薑,八角,五花肉,水,大蒜,青蔥	米酒,醬油,冰糖,胡椒,五香粉
豆豉肉醬	青蔥,大蒜,豬,辣椒	花椒,香油,雞粉,糖,豆豉,辣椒,鹽,胡椒
砂鍋魚頭	蝦,蹄筋,大白菜,青蒜,金針菇,鵪鶉蛋,香菇,薑,魚,紅辣椒,紅蔥酥,扁魚,豆皮,鰱魚	烏醋,米酒,麻油,雞高湯,糖,茶,鹽,胡椒,醬油
蛤蜊煲嫩雞	蛤蠣,紅蘿蔔,雞胸,芥菜,薑,蔥	雞粉,米酒,鹽,高湯,糖
炸醬肉絲炒粄條	梅花肉,青蔥,粄條,芹菜,紅蘿蔔	鹽,胡椒,茶,水
滷筊白筍	滷汁,紅蘿蔔,筊白筍
香菇滷雞肉	蔥,香菇,雞肉,水	米酒,冰糖,鹽,醬油
鳳梨蝦球	鳳梨,巴西利,沙拉醬,檸檬,草蝦,糖	太白粉,鹽,蛋白
紅燒蹄筋	筍,蹄筋,木耳,紅蘿蔔,薑,蔥	蠔油,米酒,水,糖,鹽,醬油
酸辣蒸豆腐	辣椒,蒜,洋蔥,蔥,板豆腐
香酥酸辣魚	魚,黃甜椒,紅甜椒,蒜	甜辣醬,水,檸檬	蔥,米酒,鹽,薑
滷海帶	海帶,滷汁
蕃茄蛋肉醬	豬,大蕃茄,洋蔥,蛋,香菜,大蒜	香油,太白粉,黑胡椒,蕃茄醬,鹽
芥藍炒香腸	香腸,芥藍菜,蒜仁	米酒,鹽,雞粉
鯛魚羊肉煲	羊肉,鯛魚,玉米筍,辣椒,薑,蔥,馬鈴薯	米酒,香油,水,糖,鹽,醬油
芹菜炒魷魚	薑,蒜仁,魷魚,紅辣椒,芹菜	雞粉,米酒,鹽,胡椒,糖
珍珠丸子	太白粉,豬,蔥,孛薺,蝦子,圓糯米,薑,蒜	米酒,醬油,胡椒,鹽,糖
芋頭燒雞	芋頭,大蒜,雞腿	香油,雞粉,白砂糖,醬油膏,雞高湯
什錦蔬食圍爐鍋	筊白筍,高麗菜,鴻禧菇,青江菜,大蕃茄,玉米,紅蘿蔔,蟳味棒,白蘿蔔,大陸妹	鹽,米酒,香油,雞粉,胡椒,水
鮮魚粄條煲	豆腐,竹筍,洋蔥,魚,粄條,毛豆,薑,蔥,大蒜,中芹,辣椒	米酒,水,胡椒,魚露,糖
滷蔥味層肉	薑,醬油膏,洋蔥,八角,蒜,香油,青蔥,細砂糖,水,三層肉,甘醇醬油
滷毛豆	毛豆,五香滷汁
滷四季豆	薑,四季豆,五香滷汁
竹筍香菇蒟蒻	竹筍,蒟蒻,香菇,薑,水	米酒,冰糖,鹽
香濃美味的玉米濃湯	洋蔥,玉米,鮮奶油,麵粉,玉米醬,奶油
麻油炒紅鳳菜	薑,黑麻油,紅鳳菜	米酒,鹽,雞粉
花生皮蛋	蠔油,辣椒,蛋,花生,蔥
古早肉醬	紅蔥頭,辣椒,大蒜,豬頸肉	米酒,香油,雞粉,油,水,糖,鹽,胡椒,醬油
三杯雞	薑,紅辣椒,九層塔,土雞	米酒,麻油,水
紅糟筊白筍	薑,豆皮,紅糟醬,橄欖油,筊白筍	米酒,水,糖
五穀雜糧枸杞飯	玉米,五穀米,枸杞,水,紅蘿蔔	鹽,黃豆,黑胡椒,香油,砂糖,醬油膏
紅麴高麗菜	蒜,高麗菜,薑,紅糟醬	雞粉,米酒
冰鎮滷汁	冰糖,洋蔥,青蔥,甘甜醬油,花椒,薑,小茴香,水,丁香,黑胡椒,老抽,八角
滷甜不辣	甜不辣,滷汁
電鍋發糕Diy	泡打粉,細砂糖,水,低筋麵粉
紅糟羊肉	黑麻油,羊肉,水,薑,菠菜,紅糟醬	米酒,細砂糖
黑豆滷五花肉	五花肉,八角,水,薑,黑豆,大蒜	米酒,冰糖,鹽,醬油
蘿蔔燉草菇	白果,白蘿蔔,薑,橄欖油,水,蓮子,草菇	米酒,鹽,冰糖,胡椒,鮮美露
茴香頭燉魚湯	薑,茴香,草魚,水	米酒,胡椒,鹽,雞粉
醃花椰菜心	花椰菜,紅辣椒,蒜	鹽,糖
香滷棒棒腿	薑,青蔥,紅辣椒,洋蔥,棒棒腿	冰糖,五香粉,甘草,甘甜醬油,香油,八角,水,丁香
咖哩肉醬	青蔥,大蒜,雞胸,洋蔥	黑胡椒,五香粉,咖哩,香油,水,奶油,鹽
避風塘蟹肉醬	薑,青蔥,大蒜,蟹,辣椒	辣椒,鹽,胡椒,辣椒,魚露
養生金瓜煲	黑棗,鴻喜菇,山藥,花豆,當歸,枸杞,南瓜	鹽,高湯,糖
麻辣滷汁	辣豆瓣醬,香醇醬油,洋蔥,青蔥,水,花椒,薑,沙薑,油,陳皮,丁香,辣椒,大蒜,八角,草果
滷花椰菜	青蔥,大蒜,花椰菜,紅蘿蔔,八角	薄鹽醬油,雞粉,細砂糖,水,奶油
